Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-07-10,DRREDDY,Dr. Reddy's Laboratories Limited,Sold,Bought,-5.89%,1269.50
2026-07-10,KAYNES,Kaynes Technology Ind Ltd,Bought,Bought,6.8%,3429.10
2026-07-10,SOLARINDS,Solar Industries India Limited,Sold,Bought,-3.29%,17380.00
2026-07-10,OBEROIRLTY,Oberoi Realty Limited,Bought,Bought,0.17%,1873.20
2026-07-10,PHOENIXLTD,The Phoenix Mills Limited,Bought,Bought,3.24%,2088.00
2026-07-10,HDFCLIFE,Hdfc Stand Life In Co Ltd,Sold,Bought,-0.69%,551.85
2026-07-10,LT,Larsen & Toubro Limited,Sold,Bought,-0.16%,3886.00
2026-07-10,DMART,Avenue Supermarts Limited,Bought,Bought,1.01%,4079.40
2026-07-10,MAZDOCK,Mazagon Dock Shipbuil Ltd,Sold,Bought,-3.18%,2372.80
2026-07-10,HDFCAMC,Hdfc Amc Limited,Bought,Bought,2.93%,2737.10
2026-07-10,KALYANKJIL,Kalyan Jewellers Ind Ltd,Bought,Bought,18.4%,443.00
2026-07-10,DELHIVERY,Delhivery Limited,Bought,Bought,2.76%,515.65
2026-07-10,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Bought,Bought,1.05%,8845.50
2026-07-10,GRASIM,Grasim Industries Limited,Bought,Bought,1.82%,3191.90
2026-07-10,AMBER,Amber Enterprises,Bought,Sold,2.38%,7600.50
2026-07-10,BIOCON,Biocon Limited,Bought,Bought,1.64%,403.55
2026-07-10,NTPC,NTPC Limited,Sold,Bought,-1.43%,343.70
2026-07-10,BHARTIARTL,Bharti Airtel Limited,Bought,Bought,2.28%,1931.10
2026-07-10,POLYCAB,Polycab India Limited,Sold,Bought,-1.73%,9074.00
2026-07-10,MOTILALOFS,Motilal Oswal Financial Services Limited,Bought,Bought,3.62%,942.50
2026-07-10,OFSS,Oracle Financial Services Software Limited,Bought,Bought,1.2%,11134.00
2026-07-10,TITAN,Titan Company Limited,Sold,Sold,-0.67%,4555.80
2026-07-10,HINDUNILVR,Hindustan Unilever Limited,Bought,Bought,0.41%,2144.50
2026-07-10,LTM,Ltimindtree Limited,Bought,Bought,1.59%,3854.40
2026-07-10,SUNPHARMA,Sun Pharmaceuticals Industries Limited,Bought,Bought,2.67%,1938.70
2026-07-10,COLPAL,Colgate Palmolive,Bought,Sold,2.12%,2063.00
2026-07-10,SWIGGY,Swiggy Limited,Bought,Sold,7.47%,280.95
2026-07-10,DIXON,Dixon Techno,Bought,Bought,4.2%,13477.00
