Timestamp,Symbol,Action,Direction,Price,Stop_Loss,Target,Volume_Ratio,Confidence,FII_DII_Signal
2026-06-22 09:21:48,MANAPPURAM,ENTRY,SELL,319.00,323.55,314.10,6.12,VERY_HIGH,STRONG_SELL
2026-06-22 09:21:51,INFY,ENTRY,BUY,1067.90,1055.00,1090.10,2.11,HIGH,BUY
2026-06-22 09:22:26,CIPLA,ENTRY,BUY,1388.00,1370.60,1410.70,5.59,HIGH,BUY
2026-06-22 09:22:59,COFORGE,ENTRY,BUY,1488.80,1474.90,1506.80,3.29,HIGH,BUY
2026-06-22 09:25:07,BDL,ENTRY,BUY,1399.30,1382.10,1422.80,4.84,VERY_HIGH,STRONG_BUY
2026-06-23 09:28:24,NHPC,ENTRY,BUY,78.97,78.20,79.69,3.71,VERY_HIGH,STRONG_BUY
2026-06-23 09:28:57,MANKIND,ENTRY,BUY,2580.00,2547.00,2625.00,3.66,HIGH,BUY
2026-06-24 09:20:43,GLENMARK,ENTRY,BUY,2190.90,2171.20,2216.90,3.57,HIGH,BUY
2026-06-24 09:21:15,DRREDDY,ENTRY,BUY,1329.30,1306.20,1363.70,6.63,VERY_HIGH,STRONG_BUY
2026-06-24 09:22:47,PRESTIGE,ENTRY,BUY,1520.30,1501.00,1544.00,1.53,VERY_HIGH,STRONG_BUY
2026-06-25 09:20:31,INDIGO,ENTRY,BUY,5329.80,5265.00,5422.50,6.72,VERY_HIGH,STRONG_BUY
2026-06-25 09:20:33,SHRIRAMFIN,ENTRY,BUY,1044.00,1030.00,1062.85,5.92,VERY_HIGH,STRONG_BUY
2026-06-25 09:21:05,WIPRO,ENTRY,SELL,174.08,176.39,171.50,4.10,VERY_HIGH,STRONG_SELL
2026-06-29 09:21:09,JINDALSTEL,ENTRY,BUY,1074.30,1056.60,1093.20,1.51,HIGH,BUY
2026-06-29 09:28:58,MOTILALOFS,ENTRY,BUY,956.60,945.90,965.05,6.43,HIGH,BUY
2026-06-30 09:20:37,CROMPTON,ENTRY,SELL,272.60,276.45,267.40,1.79,VERY_HIGH,STRONG_SELL
2026-06-30 09:21:16,ICICIPRULI,ENTRY,SELL,483.80,492.40,472.20,2.10,VERY_HIGH,STRONG_SELL
2026-06-30 09:21:17,LTM,ENTRY,SELL,3670.50,3702.90,3617.40,2.05,VERY_HIGH,STRONG_SELL
2026-06-30 09:33:11,HDFCLIFE,ENTRY,SELL,576.20,584.95,563.60,1.55,VERY_HIGH,STRONG_SELL
2026-07-03 09:20:42,MPHASIS,ENTRY,BUY,2309.90,2268.00,2367.00,5.75,VERY_HIGH,STRONG_BUY
2026-07-06 09:22:30,MUTHOOTFIN,ENTRY,BUY,3090.20,3062.10,3134.70,2.15,VERY_HIGH,STRONG_BUY
2026-07-06 09:43:22,BANDHANBNK,ENTRY,BUY,205.92,200.65,214.45,5.29,HIGH,BUY
